127.0.0.1 - - [18/May/2021:22:16:46 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/May/2021:22:16:50 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:16:50 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:16:50 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:16:50 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:16:50 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:17:01 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:17:01 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:17:01 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:17:01 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/js/jquery-1.10.2.js HTTP/1.1" 200 273199
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:49 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 200 32121
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:50 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:50 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:55 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:55 -0300] "GET /ProjetoTrilhaWeb/js/product.js?_=1621387310143 HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [18/May/2021:22:21:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:33 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:41 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:41 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:41 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 200 32121
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:41 -0300] "GET /ProjetoTrilhaWeb/js/jquery-1.10.2.js HTTP/1.1" 200 273199
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:42 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:42 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:42 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:43 -0300] "GET /ProjetoTrilhaWeb/js/product.js?_=1621387782166 HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [18/May/2021:22:29:46 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
