127.0.0.1 - - [06/Apr/2021:20:05:18 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:17 -0300] "GET /ProjetoTrilhaWeb/index.html HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:17 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:17 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:17 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:17 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:20 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:25 -0300] "GET /ProjetoTrilhaWeb/pages/site/produtos.html HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:06:27 -0300] "GET /ProjetoTrilhaWeb/pages/site/faleconosco.html HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:29:13 -0300] "GET /exemploServlet/ HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:29:44 -0300] "GET /exemploServlet/ HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:23 -0300] "GET /exemploServlet/ HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:47 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:52 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:53 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:53 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:30:53 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:31:31 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:31:31 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:34:47 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:35:19 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:35:43 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:37:22 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:37:22 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:12 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:12 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:13 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:13 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:13 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:13 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:17 -0300] "POST /exemploServlet/contato.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:21 -0300] "POST /exemploServlet/contato.html HTTP/1.1" 412 679
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:51:30 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:58 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:58 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:58 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:58 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:58:59 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:23 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:23 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:24 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:25 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:20:59:26 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:17 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:17 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:17 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:17 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:18 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/css/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2021:21:00:19 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
