127.0.0.1 - - [08/Apr/2021:19:12:00 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:12:02 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:12:02 -0300] "GET /exemploServlet/siteContato.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:12:21 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:20:39 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:20:40 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:20:41 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:20:47 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:20:51 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:26:44 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:27:00 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:27:04 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:27:07 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:27:11 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Apr/2021:19:28:51 -0300] "GET /exemploServlet/insereContato?nome=pedro+df&fone=%2899%2999999-9999&end=fswe HTTP/1.1" 200 28
