0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:29:54 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:29:54 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:17 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:19 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:24 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:24 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:24 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:30:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:31:24 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:31:24 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:31:24 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Jun/2021:20:31:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:56:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:56:16 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:56:16 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:56:16 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:58:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:58:21 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:21:58:21 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:09 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:02:09 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:31 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:31 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:31 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:31 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:32 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:32 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:32 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jun/2021:22:11:33 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 115
