127.0.0.1 - - [17/May/2021:21:21:35 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:06 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [17/May/2021:21:23:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:24:00 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:24:55 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:25:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:25:10 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:25:26 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:25:46 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:27:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/buscar HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [17/May/2021:21:28:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:28:37 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:28:53 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:31:18 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:31:21 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:42 -0300] "GET /ProjetoTrilhaWeb/admin HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:53 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:53 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [17/May/2021:21:32:56 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/May/2021:21:33:35 -0300] "GET /ProjetoTrilhaWeb/rest HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/May/2021:21:33:42 -0300] "GET /ProjetoTrilhaWeb/rest/marca HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/May/2021:21:36:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:21:36:31 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [17/May/2021:21:36:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 85
